event_id,date,time,region,lat,lon,vessel_name,mmsi,imo,ship_type,event_type,risk_score,triggered_rules,nearest_infrastructure,distance_km,sources,confidence,notes
NBGM-20260715-0130,2026-07-15,17:28:18+00:00,Gulf of Finland,59.700178,24.025247,HAV TUNA,304717000,9084487,cargo,pipeline_proximity,6,"[{""rule_id"": ""infra_proximity_5km"", ""points"": 2, ""evidence"": ""1.9 km from pipeline Balticconnector""}, {""rule_id"": ""zigzag_or_anchor_drag_proxy"", ""points"": 2, ""evidence"": ""Repeated large course changes in stored AIS positions""}, {""rule_id"": ""repeat_sensitive_area_presence"", ""points"": 2, ""evidence"": ""Repeated stored presence inside a sensitive-area bounding box""}]",Balticconnector,1.9,digitraffic,low,Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0131,2026-07-15,17:28:18+00:00,Gulf of Finland,59.700178,24.025247,HAV TUNA,304717000,9084487,cargo,sensitive_area_repeat_presence,6,"[{""rule_id"": ""infra_proximity_5km"", ""points"": 2, ""evidence"": ""1.9 km from pipeline Balticconnector""}, {""rule_id"": ""zigzag_or_anchor_drag_proxy"", ""points"": 2, ""evidence"": ""Repeated large course changes in stored AIS positions""}, {""rule_id"": ""repeat_sensitive_area_presence"", ""points"": 2, ""evidence"": ""Repeated stored presence inside a sensitive-area bounding box""}]",Balticconnector,1.9,digitraffic,low,Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0147,2026-07-15,17:28:18+00:00,Gulf of Finland,60.467838,22.009663,RUDOLFINA,230938610,8634326,unknown,pipeline_proximity,7,"[{""rule_id"": ""infra_proximity_1km"", ""points"": 3, ""evidence"": ""0.0 km from pipeline EMODnet pipeline pipelines.3555""}, {""rule_id"": ""low_speed_near_infra_6h"", ""points"": 4, ""evidence"": ""Speed below 6 kn near schematic infrastructure for 10.0 hours""}, {""rule_id"": ""zigzag_or_anchor_drag_proxy"", ""points"": 2, ""evidence"": ""Repeated large course changes in stored AIS positions""}, {""rule_id"": ""repeat_sensitive_area_presence"", ""points"": 2, ""evidence"": ""Repeated stored presence inside a sensitive-area bounding box""}]",EMODnet pipeline pipelines.3555,0.0,digitraffic,low,Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0148,2026-07-15,17:28:18+00:00,Gulf of Finland,60.467838,22.009663,RUDOLFINA,230938610,8634326,unknown,loitering,7,"[{""rule_id"": ""infra_proximity_1km"", ""points"": 3, ""evidence"": ""0.0 km from pipeline EMODnet pipeline pipelines.3555""}, {""rule_id"": ""low_speed_near_infra_6h"", ""points"": 4, ""evidence"": ""Speed below 6 kn near schematic infrastructure for 10.0 hours""}, {""rule_id"": ""zigzag_or_anchor_drag_proxy"", ""points"": 2, ""evidence"": ""Repeated large course changes in stored AIS positions""}, {""rule_id"": ""repeat_sensitive_area_presence"", ""points"": 2, ""evidence"": ""Repeated stored presence inside a sensitive-area bounding box""}]",EMODnet pipeline pipelines.3555,0.0,digitraffic,low,Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0149,2026-07-15,17:28:18+00:00,Gulf of Finland,60.467838,22.009663,RUDOLFINA,230938610,8634326,unknown,sensitive_area_repeat_presence,7,"[{""rule_id"": ""infra_proximity_1km"", ""points"": 3, ""evidence"": ""0.0 km from pipeline EMODnet pipeline pipelines.3555""}, {""rule_id"": ""low_speed_near_infra_6h"", ""points"": 4, ""evidence"": ""Speed below 6 kn near schematic infrastructure for 10.0 hours""}, {""rule_id"": ""zigzag_or_anchor_drag_proxy"", ""points"": 2, ""evidence"": ""Repeated large course changes in stored AIS positions""}, {""rule_id"": ""repeat_sensitive_area_presence"", ""points"": 2, ""evidence"": ""Repeated stored presence inside a sensitive-area bounding box""}]",EMODnet pipeline pipelines.3555,0.0,digitraffic,low,Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0674,2026-07-15,17:28:17+00:00,Barents Sea North,70.669015,23.666732,JOHN B,257017910,,cargo,cable_proximity,10,"[{""rule_id"": ""infra_proximity_5km"", ""points"": 2, ""evidence"": ""2.4 km from cable EMODnet cable pcablesnve.169""}, {""rule_id"": ""low_speed_near_infra_6h"", ""points"": 4, ""evidence"": ""Speed below 6 kn near schematic infrastructure for 6.7 hours""}, {""rule_id"": ""zigzag_or_anchor_drag_proxy"", ""points"": 2, ""evidence"": ""Repeated large course changes in stored AIS positions""}, {""rule_id"": ""repeat_sensitive_area_presence"", ""points"": 2, ""evidence"": ""Repeated stored presence inside a sensitive-area bounding box""}]",EMODnet cable pcablesnve.169,2.4,barentswatch,low,Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0515,2026-07-15,17:28:16+00:00,Other High North,69.6565,18.968633,FDA HANS,257077510,,service,cable_proximity,6,"[{""rule_id"": ""infra_proximity_1km"", ""points"": 3, ""evidence"": ""0.3 km from cable EMODnet cable pcablesnve.23""}, {""rule_id"": ""low_speed_near_infra_6h"", ""points"": 4, ""evidence"": ""Speed below 6 kn near schematic infrastructure for 6.7 hours""}]",EMODnet cable pcablesnve.23,0.3,barentswatch,low,Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0516,2026-07-15,17:28:16+00:00,Other High North,69.6565,18.968633,FDA HANS,257077510,,service,loitering,6,"[{""rule_id"": ""infra_proximity_1km"", ""points"": 3, ""evidence"": ""0.3 km from cable EMODnet cable pcablesnve.23""}, {""rule_id"": ""low_speed_near_infra_6h"", ""points"": 4, ""evidence"": ""Speed below 6 kn near schematic infrastructure for 6.7 hours""}]",EMODnet cable pcablesnve.23,0.3,barentswatch,low,Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0649,2026-07-15,17:28:12+00:00,Other High North,64.883272,11.298088,RONJA NAEROEYSUND,257920000,,cargo,cable_proximity,7,"[{""rule_id"": ""infra_proximity_1km"", ""points"": 3, ""evidence"": ""0.5 km from cable EMODnet cable pcablesnve.7""}, {""rule_id"": ""low_speed_near_infra_6h"", ""points"": 4, ""evidence"": ""Speed below 6 kn near schematic infrastructure for 10.0 hours""}]",EMODnet cable pcablesnve.7,0.5,barentswatch,low,Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0650,2026-07-15,17:28:12+00:00,Other High North,64.883272,11.298088,RONJA NAEROEYSUND,257920000,,cargo,loitering,7,"[{""rule_id"": ""infra_proximity_1km"", ""points"": 3, ""evidence"": ""0.5 km from cable EMODnet cable pcablesnve.7""}, {""rule_id"": ""low_speed_near_infra_6h"", ""points"": 4, ""evidence"": ""Speed below 6 kn near schematic infrastructure for 10.0 hours""}]",EMODnet cable pcablesnve.7,0.5,barentswatch,low,Automated research lead for human review; not a confirmed incident.
NBGM-20260715-0485,2026-07-15,17:28:05+00:00,Other High North,69.688053,19.013955,SAMSKIP KVITBJORN,259112000,,cargo,cable_proximity,7,"[{""rule_id"": ""infra_proximity_1km"", ""points"": 3, ""evidence"": ""0.1 km from cable EMODnet cable pcablesnve.28""}, {""rule_id"": ""low_speed_near_infra_6h"", ""points"": 4, ""evidence"": ""Speed below 6 kn near schematic infrastructure for 10.0 hours""}]",EMODnet cable pcablesnve.28,0.1,barentswatch,low,Automated research lead for human review; not a confirmed incident.
